  R.A.         Dec.      Mag     V     SigV
193.02958   -32.84556   15.23   15056   81
193.04042   -28.54083   17.22   16995   32
193.04042   -28.22556   17.29   21211   81
193.05417   -28.33889   18.20   29812   37
193.05542   -29.84056   12.55   2930    38
193.05625   -30.33056   17.62   16042   104
193.06375   -30.11861   16.87   17264   36
193.07500   -27.88639   16.00   16975   57
193.08208   -30.50556   17.90   31572   68
193.13000   -28.39028   17.71   14806   36
193.13458   -28.94944   15.80   16559   118
193.13792   -28.45417   17.90   17032   56
193.14042   -30.47750   18.89   16618   15
193.14417   -30.24750   17.58   27457   15
193.14583   -31.26611   13.90   16404   157
193.14667   -31.88722   15.18   3543    138
193.14667   -31.24333   15.71   15580   40
193.15208   -28.42389   18.69   29047   64
193.15792   -28.91333   16.80   16052   50
193.16667   -28.39389   18.78   14844   38
193.18083   -30.40028   18.47   32472   67
193.18750   -31.25750   17.80   15751   40
193.18833   -30.59417   18.99   21475   15
193.19375   -30.22667   17.08   20949   34
193.19375   -28.60417   17.73   14886   45
193.19417   -30.46833   18.18   32571   68
193.19625   -30.54917   18.66   31832   49
193.19917   -30.27778   18.03   31450   48
193.20125   -30.11417   18.49   27398   15
193.20625   -30.50500   18.32   31372   54
193.21375   -30.24972   18.80   31876   95
193.21583   -30.45000   18.76   31911   58
193.22125   -30.28111   19.01   15650   15
193.23250   -32.10833   14.09   8739    126
193.23583   -29.80722   16.73   15057   45
193.24667   -30.35972   17.73   15739   57
193.25083   -30.15361   18.89   25956   44
193.25375   -28.61444   18.11   16716   107
193.27083   -28.12833   17.46   3042    15
193.27792   -30.27583   18.77   31783   51
193.28458   -30.02083   18.34   27931   94
193.29375   -27.91778   15.40   17319   77
193.29583   -29.18556   16.85   28037   9
193.29833   -32.17361   16.30   9377    73
193.30292   -28.48222   18.24   16469   30
193.30625   -30.30833   17.62   17138   43
193.30667   -28.42972   18.38   17269   81
193.31375   -28.54472   18.68   15795   96
193.31625   -29.31778   16.80   16403   50
193.32333   -29.76944   17.48   15086   56
193.32375   -30.41056   18.94   32039   58
193.32417   -28.51611   18.18   25612   119
193.32667   -31.03694   0.00    16545   51
193.33042   -30.50528   17.97   30917   36
193.33042   -29.06389   18.10   16515   79
193.33333   -30.44917   17.75   30657   63
193.33417   -28.43083   18.19   18555   15
193.34542   -28.27333   18.38   17689   15
193.34917   -28.34611   15.57   16403   60
193.35125   -28.47972   14.58   8140    31
193.35625   -28.30500   18.20   16287   15
193.35917   -28.90333   17.84   16336   61
193.36208   -30.11806   18.40   25871   62
193.36458   -28.31056   17.78   33257   105
193.37417   -28.15611   18.38   28874   15
193.37833   -28.26500   17.15   16705   29
193.37833   -28.19139   18.21   16988   15
193.38000   -29.45528   0.00    15201   61
193.38292   -30.79361   17.60   15654   57
193.38750   -32.32889   15.11   9277    74
193.39375   -28.32972   16.31   16281   40
193.39458   -28.31639   18.60   16717   38
193.39750   -29.11833   18.52   16016   50
193.39958   -28.25083   17.15   16330   15
193.40333   -31.20444   0.00    12411   120
193.40417   -28.81333   0.00    20985   0
193.41000   -29.80306   18.25   21069   15
193.41583   -30.07694   18.72   21413   15
193.41667   -29.64778   18.14   25854   82
193.41917   -28.81611   15.89   16633   132
193.42000   -31.20972   0.00    12411   120
193.42167   -28.32417   18.37   21029   70
193.42167   -29.09806   18.49   16566   59
193.42250   -29.84278   18.21   20962   83
193.43958   -29.04778   15.90   14872   48
193.44083   -30.13306   17.53   16640   58
193.44792   -28.80056   18.82   15736   49
193.45000   -28.23694   17.96   15586   38
193.45083   -29.76194   18.89   31033   15
193.45167   -30.00028   18.40   20559   35
193.45250   -30.37389   19.03   31913   31
193.45292   -27.89611   15.74   3187    10
193.46000   -30.00667   17.72   20589   41
193.46167   -29.77139   18.86   30917   15
193.46292   -29.02111   0.00    16362   80
193.46708   -28.60444   0.00    14791   50
193.46792   -29.02611   15.70   23053   13
193.47292   -29.78722   18.61   30731   82
193.47500   -28.57417   0.00    14671   50
193.47500   -32.04500   16.30   9475    110
193.47958   -28.34167   15.79   15938   166
193.48000   -29.16417   18.80   16716   69
193.48083   -30.11361   18.38   26007   34
193.48750   -28.99056   18.53   16493   112
193.48750   -28.42972   18.65   18030   171
193.48792   -29.14167   18.42   17606   36
193.48958   -30.37750   18.48   21633   43
193.49208   -29.86306   17.92   27888   31
193.49292   -29.51944   0.00    17631   52
193.49417   -29.10167   18.84   16654   56
193.49458   -28.99417   18.00   15833   38
193.49583   -30.17250   19.12   17546   61
193.50208   -29.89972   18.73   27838   88
193.50333   -28.73556   0.00    16680   50
193.50667   -28.50028   0.00    16528   50
193.50667   -29.81861   18.57   27762   73
193.50708   -30.28306   18.95   16354   80
193.51083   -30.31306   19.19   20786   37
193.51125   -30.14667   18.59   16483   31
193.51625   -29.52056   18.21   17018   38
193.51708   -29.07250   15.33   17303   50
193.51958   -29.13444   18.87   13720   85
193.52458   -30.31889   18.12   16962   45
193.52583   -28.97194   19.34   16283   92
193.52708   -30.14611   18.61   32535   105
193.52875   -29.84583   18.13   21029   15
193.53250   -29.27472   18.02   21424   71
193.53333   -29.13972   18.51   16421   58
193.53583   -28.84222   17.93   17546   62
193.53667   -29.79778   17.16   21025   32
193.54125   -30.34500   17.49   15984   38
193.54250   -29.15611   17.10   15265   54
193.54458   -29.17833   15.48   17177   50
193.54667   -29.61056   15.71   25584   100
193.54750   -29.02972   16.14   16622   50
193.55000   -29.49194   19.24   21296   10
193.55083   -29.15667   17.60   15910   36
193.55292   -29.06056   18.57   16945   38
193.55333   -28.72167   16.27   20683   15
193.55375   -29.19639   15.84   22870   51
193.55375   -29.88528   18.04   21495   31
193.55375   -29.97500   18.94   31862   42
193.55417   -30.55611   16.82   15271   35
193.55458   -30.60167   16.60   15669   83
193.55542   -29.09194   18.86   14192   57
193.55958   -28.98806   17.70   16784   50
